Title,imdb_id
Witness for the Prosecution,tt0051201
Joker,tt7286456
Sunset Blvd.,tt0043014
Dangal,tt5074352
Avengers: Infinity War,tt4154756
Princess Mononoke,tt0119698
Memento,tt0209144
Children of Paradise,tt0037674
Oldboy,tt0364569
Django Unchained,tt1853728
Coco,tt2380307
Indiana Jones and the Raiders of the Lost Ark,tt0082971
Alien,tt0078748
The Lives of Others,tt0405094
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012
The Shining,tt0081505
The Dark Knight Rises,tt1345836
Avengers: Endgame,tt4154796
Paths of Glory,tt0050825
Hamilton,tt8503618
Apocalypse Now,tt0078788
3 Idiots,tt1187043
Capernaum,tt8267604
Your Name.,tt5311514
Spider-Man: Into the Spider-Verse,tt4633694
WALL·E,tt0910970
The Lord of the Rings: The Return of the King,tt0167260
Schindler's List,tt0108052
Pulp Fiction,tt0110912
